Date,Open,High,Low,Close,Adj Close,Volume
2023-03-27,311.600006,312.700012,307.890015,308.760010,306.710510,50287400
2023-03-28,308.170013,308.200012,304.769989,307.119995,305.081390,48585900
2023-03-29,310.880005,313.350006,310.049988,312.720001,310.644226,53274300
2023-03-30,315.239990,316.320007,312.809998,315.679993,313.584534,58354800
2023-03-31,315.910004,321.170013,315.600006,320.929993,318.799713,62138100
2023-04-03,318.769989,320.420013,317.420013,320.149994,318.024872,47126800
2023-04-04,320.600006,321.630005,317.829987,319.070007,316.952087,45875400
2023-04-05,318.100006,319.059998,314.070007,315.920013,313.822998,62795700
2023-04-06,314.239990,318.549988,312.820007,318.049988,315.938843,46916500
2023-04-10,315.070007,317.920013,313.250000,317.869995,315.760040,45134700
2023-04-11,317.829987,317.890015,315.309998,315.829987,313.733582,40113600
2023-04-12,317.820007,318.420013,312.570007,313.040009,310.962128,62813300
2023-04-13,314.829987,319.649994,313.630005,319.170013,317.051422,54613800
2023-04-14,317.589996,320.359985,315.609985,318.570007,316.455414,56278300
2023-04-17,318.149994,319.200012,316.040009,318.839996,316.723602,43007000
2023-04-18,320.989990,321.420013,317.640015,318.859985,316.743469,46746900
2023-04-19,316.410004,319.790009,316.279999,318.709991,316.594482,38960100
2023-04-20,315.690002,319.269989,314.970001,316.279999,314.180573,62462100
2023-04-21,315.910004,317.399994,314.100006,316.609985,314.508392,59002300
2023-04-24,316.380005,317.739990,313.739990,315.950012,313.852783,44043100
2023-04-25,314.290009,314.970001,309.890015,309.989990,307.932312,57121600
2023-04-26,313.440002,314.940002,311.339996,311.869995,309.799866,55400500
2023-04-27,315.700012,320.859985,315.049988,320.350006,318.223572,65430400
2023-04-28,320.109985,322.649994,318.959991,322.559998,320.418884,59652500
2023-05-01,322.089996,323.630005,321.089996,322.190002,320.051361,41013400
2023-05-02,322.119995,322.450012,317.609985,319.380005,317.260040,56519400
2023-05-03,319.750000,322.470001,317.179993,317.290009,315.183929,59882100
2023-05-04,317.059998,318.230011,315.119995,316.170013,314.071320,50224500
2023-05-05,318.470001,323.760010,316.209991,322.890015,320.746704,51776000
2023-05-08,322.420013,324.040009,321.320007,323.690002,321.541412,36465800
2023-05-09,322.000000,322.880005,321.320007,321.640015,319.505005,31768800
2023-05-10,324.119995,326.010010,321.600006,325.140015,322.981812,60446600
2023-05-11,325.700012,326.750000,324.119995,326.200012,324.034790,44278500
2023-05-12,326.739990,327.170013,322.940002,325.029999,322.872528,48396200
